Tumor	Cell_Count
CTR_MGH_0	176
CTR_MGH_1	3375
CTR_MGH_2	673
CTR_MGH_3	277
CTR_MGH_4	422
CTR_MGH_5	151
CTR_MGH_6	139
CTR_MGH_7	74
CTR_MGH_8	38
CTR_MGH_9	23
CTR_RT_0	117
CTR_RT_1	5709
GEM_RT_0	95
GEM_RT_1	731
GEM_RT_10	66
GEM_RT_11	68
GEM_RT_12	66
GEM_RT_13	53
GEM_RT_14	53
GEM_RT_15	35
GEM_RT_16	43
GEM_RT_17	31
GEM_RT_18	34
GEM_RT_19	25
GEM_RT_2	153
GEM_RT_3	144
GEM_RT_4	142
GEM_RT_5	106
GEM_RT_6	118
GEM_RT_7	105
GEM_RT_8	104
GEM_RT_9	70
MI_MGH_0	58
MI_MGH_1	7492
MI_MGH_2	152
MI_MGH_3	28
Met_MGH_0	24
Met_MGH_1	3910
Met_MGH_2	373
Met_MGH_3	8
NMI_MGH_0	9
NMI_MGH_2	74
NMI_MGH_3	81
NMI_MGH_4	76
NMI_MGH_5	70
NMI_MGH_6	38
